Name,Price Max (RM),Price Min (RM),Rating,Sold Unit,Shop Name,Status Stock
NSW Nintendo Switch Pokemon Scarlet / Violet / Double Pack《寶可夢 朱/紫》中英文版 (US)(ENG/CHI),42900000,19000000,5,39,Game Starto,42
PS5/PS4/NS PRO KontrolFreek Performance Thumb Stick Grip Cover Cap,1500000,1500000,4.9603174603174605,1216,Yu2 Online Store,308
Valorant Point  2275VP-7000VP New Pack!,21000000,7000000,4.977027027027027,1697,Mits Shop,24
2 Finger Sleeve Gaming Sweatproof Gloves Mobile Finger Sleeve Touchscreen Game Controller Sarung Jari,79000,39000,4.922979797979798,8508,138 Phone Accessories,2926
Roblox toy Robux ready stock in Malaysia,14100000,2050000,5,77,DontWorryBiiHappy,1004
AMGRAS Portable Controller Handle Bracket For PS5 PS4 Playstation 4 5 Game Console Hanging Storage Rack Holder Stand,699000,699000,5,63,GD-LUCK,8
[Medium Variants] Recharge Daimonds Mob1le L3g3nds service 1,7074000,1088000,5,84,GameMaster_Store,9889
[Lowest Price] Nintendo Switch Online Family Membership / Individual Membership 12 MONTHS package NSO subscription,8890000,2490000,4.9977611940298505,4575,nsofamilypackage,266
Retro Mini Gameboy [900 Games/400 Games] Game Console Emulator Built-In Upgraded Design,6299000,2229000,4.879003558718861,1314,Love Mi Baby,743
2022 GAMER MINI MOVIE BOX,49900000,44900000,4.867612293144208,1751,FuntasticJoy,63
[Small Variants] Recharge Daimonds Mob1le L3g3nds service 2,760000,109000,5,349,GameMaster_Store,6575
Avakin Life Avacoins 25K to 40K Dummy Account for Gifting/via Gift,250000,250000,4.994076999012833,3830,toratora.gameshop.my,72
Car Parking Multiplayer Design Anime 🔥,600000,500000,4.913793103448276,90,rollSHOP,35
1 PAIR ( 2PCS) GAMING GLOVES Breathable Sweatproof Mobile Finger Sleeve WHOLE SALE PRICE,100000,100000,4.91780185758514,31009,HuHu _ ACCESSORIES,3885
[Cielolew] ML Acc Recharge L,37000000,6100000,4.988636363636363,229,Cielolew,1510
[1 HOUR DELIVERY] Nintendo Switch Online Family Membership,5490000,2490000,4.996054769087955,7457,Gamer Zone,352
🔥 🔵 BLOX FRUITS PERMANENT FRUITS 🔵 🔥 (ANDROID),9600000,2000000,5,239,Robux Plug,269431
Local Store PS3 Dualshock 3 Controller Wireless Joystick PS3 with Free Cable,2780000,2680000,4.856123662306778,2066,Dualshock 4 Controller PS4,5671
Valorant Points 1125 | 1650 | 3400 | 7000 Top Up via UID,21340000,3450000,4.967329545454546,1535,Gamer_Club,14270
Ghhr Pet Sim X Huge Pets Pet Simulator X HugePixelCat Huge Hell Rock HugeCupCakeHugeHackedCat⚠️Big Sales⚠️❗100%clean❗,300000,300000,4.938388625592417,1462,GameWorld_,361
(🔥NEW RELEASE🔥) FIFA 23 Standard Edition Full Game (PS4 & PS5) Digital Download,13000000,6000000,4.994736842105263,944,hobgames,81
⚠️1pc Nintendo Switch OLED / Switch V2 /Switch Lite Console Joycon Silicone Joy Con Analog Thumb Grip JoyStick Cap Cover,160000,99000,4.969908651262762,9615,Owl and the Fox,1022
Steam Wallet Argentina Code Top Up 100 ars / 200 urs / 300 ars / 500 ars / 1000 ars,2121000,303000,4.987980769230769,1421,GameZone MY,2122
《 𝟴𝟬𝟬 𝗚𝗔𝗠𝗘𝗦 》 Handheld TV Video Game Portable Classic Retro Gameboy Super Mario Contra Tank Pacman 400 Permainan 电子游戏,3250000,2790000,4.704211557296768,2632,NWD ( New World Depot ),353
[KipliPay] MLBB Mobile Legend Account Recharge 2,9800000,4900000,4.991596638655462,227,kiplipaystore,1110
PC Controller Joystick VIBRATE Double Shock PC USB Single Controller [READY STOCK][FROM MALAYSIA],1990000,1090000,4.79590752059527,7095,Custom Create Game Store,3754
腾讯qq卡密 q卡密 qq卡 3 4 5 6 7 8 9 10 在线秒发,850000,300000,5,277,YT online shop ,23682
官方充值 — 300/600/1000/2000币 提供斗音号即可,14850000,2300000,5,537,AC.SERVICE.STUDIO,3613
👑 KING LEGACY PERMANENT GAMEPASS 👑 (ANDROID),8400000,1250000,5,69,Robux Plug,119925
Nintendo Switch V2 OLED Dockable Case for Switch and Joy-Con Controller,3080000,2080000,4.852125693160813,1044,Yu2 Online Store,365
原神NO BOT纯手工 代肝 深渊代打 地图探索 Spiral Abyss 账号管理 委托 Genshin Impact Farming Boosting service Daily Commission Resin Exploration,100000,100000,5,15684,Kashiwa Gaming,2719
Pokemon Gaole Part 4 - 5⭐Star | 100% SG-MY Scannable! Modified Reprint High Quality English Malaysia | GREY WHITE DISC,1455000,383000,4.935483870967742,184,PassionGameGamerz#5335,2394
[KipliPay] Pubg Mobile Recharge Account (MY Region) 1,6720000,960000,4.990430622009569,382,kiplipaystore,289
Yowei [1 to 1 Exchange in 1 year Warranty Period] Game Controller Compatible PS4 Controller Wireless Controller Gaming Controller Joystick Support PC,4599000,4599000,4.714285714285714,88,Yowei Shop,19
Roblox Toy Robux ready-stock Malaysia Toy,11900000,2000000,4.9125,213,SLgameshop,140302
Garena Shell Pin 428 Garena Prepaid Card | Garena Shell Top Up | TOPUP Garena Shell | Shell Top,2750000,2750000,4.991404011461318,13929,MGAME.MY,27
[KipliPay] MLBB Mobile Legend Account Recharge 3,61300000,9800000,5,106,kiplipaystore,2148
PS2 Controller Analog Joystick REMOTE PS 🔥Readystok 🔥,1090000,1090000,4.834724540901503,6329,Kelantan PC Game Store,993
[24/7 Self Claim / Email] Steam Wallet MYR RM5 RM10 RM20 Digital Prepaid Code [GameXpress],2199000,549000,4.9903800361939235,29659,Game Xpress,293
USED Nintendo Switch V1 V2 OLED Enhanced Console/Switch Lite Console (Selected Variants Free Pouch!),109900000,99900000,4.941278065630398,1026,Impulse Gaming,6
Genshin Impact Reroll Starter Acc (Asia) 原神自抽号（亚州服）,1890000,590000,4.961783439490445,458,mygameslab,128
Game Finger Sleeve Gaming Sweatproof Gloves Mobile Finger Sleeve Touchscreen Game Controller Sarung Jari,1200000,290000,4.909059652741964,33319,THSO Online Shop,2511
Growtopia Diamond Lock | SXSTORE,205000,205000,4.851063829787234,955,shuoxi07,99037
Sony Playstation 5 PS5 825GB Disc Edition (Sony Malaysia Warranty),376800000,286800000,4.985663082437276,1453,jessleong91,97
(🔥FLASH SALE🔥) Mario Kart 8 Deluxe (Nintendo Switch) Digital Download,7000000,2500000,4.9689119170984455,2081,hobgames,34
PC/ANDROID/IOS/PS4] PS4 compatibles DualShock WIRELESS CONTROLLER V2 | DS4 CONTROLLER | 🎮 HIGHEST QUALITY,5688000,3799000,4.928057553956834,402,SuperMarvelS,2080
【Cheesyxi】和平 精英 充值 點 卷 在线秒处理,10000,10000,5,112960,Cheesyxi shop 晞晞店铺🍒,1085060
微信充值 支付 代充 代付 红包 代扫 代转,75000,75000,5,123317,Jc Gaming Online,876247
#cheap psx hhc/hcc/hpc,2200000,700000,4.923076923076923,137,CJ Gaming Shop,49
【Shop Gift】【Ready stock & Warranty】DualShock 4 Wireless Controller V2 with Dual Vibration Game Joystick,5580000,4680000,4.9397590361445785,318,GD-LUCK,126
unipin topup free fire diamonds,2850000,475000,4.9743589743589745,89,NIonionGamingStore,499906
THE SPIKE VOLLEYBALL STORY GAME TOPUP!,2000000,1000000,4.96969696969697,284,Gaming Addict,169
🔥 [TOP GAMES] 💻Random Steam Keys Original games [Lifetime warranty] Original Game Titles PC GAME| PUBG |GTA V |CSGO 🔥,300000,300000,4.924865831842576,6291,Game_On,98026
Nintendo Switch OLED / Switch V2 / Switch Lite Eva Bag Hard Carry Case Travel EVA Pouch Storage Bag Switch Handle Bag,1750000,1150000,4.976584022038567,1309,Owl and the Fox,180
"Buy Cheapest QQ Card at our Shop. 购买全网最便宜的QQ卡。 10QQ , 30QQ, 60QQ, 100QQ all available at our shop.",4800000,2400000,4.996978851963746,2171,AI Gamer Mall 2,346
【11.11 SALE】Nintendo Switch OLED Model Console Free Tempered Glass (1 Year Nintendo Official Warranty),145900000,138900000,4.923185011709601,3985,OTAKUYA,188
Blox Fruit Unverified Account ROBLOX Lv2400 + 15M Beli + Random Fruit (Rare) + Random Legendary Sword Backup,5900000,1599000,4.986486486486487,207,Bloxtastic,112
Ready Stock Controller Pc Android Ios Bluetooth wireless Game Games Controller Gamepad Joystick For Android Pc Laptop,6000000,3990000,4.862912621359223,6728,3pin Online,2817
"Steam Wallets Code (Fast Service, Receive Code Instantly!!)",11150000,580000,4.9830643872823135,13889,GamePoint Club,32801
[C&H SHOP] 马来验证码服务 | 任何app都能 | OTP TAC 服务,100000,100000,4.9245283018867925,373,C&H SHOP.os,160
Clash of Clans MOD【ANDROID】🔥【UNLIMITED】✅100% WORKS!!!,250000,200000,4.825242718446602,237,Irving's Shop,214
PS5/PS4/PS3/NS PRO/XBOX 1Pc Silicone Analog Thumb Stick Grip Cover Cap,200000,200000,4.929701230228471,7025,Yu2 Online Store,2885
【Cheesyxi】王者 榮耀 充值 點 卷 各种数额都有,10000,10000,5,146238,Cheesyxi shop 晞晞店铺🍒,3754552
【11.11 SALE】Nintendo Switch Lite Console Free Tempered Glass (1 Year Nintendo Official Warranty),93900000,77900000,4.906386701662292,3483,OTAKUYA,96
GTA 5 / Grand Theft Auto V (offline) (PC GAMES),100000,100000,4.897196261682243,258,Just run it,1191
PS5 Sony PlayStation 5 DualSense Wireless Controller l Dualsense 5 Controller (Sony Original Product),39900000,27600000,4.95697896749522,1971,EPIC CO,951
原神 | Genshin Impact 5 Star+Pulls Reroll Starter Account Asia Server | 原神五星+抽自抽初始号亚服,100000,100000,5,18798,CoreGamer,233237
huanq服务和平王者荣耀huanq等等,2500000,400000,5,406,ye.games,50
🔥[Murah]🔥 EA SPORTS FIFA 23 / FIFA 22 🔥Offline Version / Online version🔥 PC Game (100% Original Origin Game),2300000,380000,4.689497716894977,3562,gsgameshop,9338
🔥Lowest Price🔥 Switch Controller Vibration Bluetooth Wireless Controllers,4450000,4450000,4.930927193528314,3119,VECTRO,19
[FREE Gift PROMO] SyberTV 1 BULAN 3 BULAN 6 BULAN / IPTV6K/ CyberTV/ SiberTV/ SYOKTV / KINGTV All Android D,6500000,1200000,4.986434108527132,860,SHOMEX,29492
【NEXT】ZFB  支付寶充值  淘宝代付 转账代付口令,73000,73000,5,5967,De Next Studio,3382
FIFA 23/22/21 ULTIMATE |FULL GAME| LIFETIME GUARANTEE 24 HOUR AUTO SEND,3199000,990000,4.757425742574258,4327,GamerSpace,138460
hanya utk PC guna sahaja xbox 360 design Wired Controller For PC/Window Easy Use  (ship From Malaysia),2590000,2590000,4.791169451073985,1888,power_station,936
SKASIATV | SK ASIA TV IPTV12K TELETV SYOKTV APPS FOR ANDROID / IOS,5000000,800000,4.97457627118644,413,Xtrem Team,59573
NSW Nintendo Switch Console OLED Pokemon Scarlet & Violet Special Edition [Free Tempered Glass + 1 Year Warranty],154900000,154900000,5,203,Impulse Gaming,34
GHHR Goledn Huge Hell Rock,300000,300000,5,720,GameWorld_,922
USB Gamepad Controller Joystick Double Shock Vibration PC Controller Single / Double Twin,1165000,1165000,4.843373493975903,8530,Xboxing,185
原神 | Genshin Impact 5 Star Started Account Asia Server | 原神五星自选初始号亚服,100000,100000,4.982514571190674,132803,CoreGamer,199202
Pokemon Gaole Part1/2/3/4/Legend 1⭐5⭐Star*High Quality Modified Reprint Original Design*  (Stock Ready/Sg-My Scannable!),449000,449000,4.914965986394558,2730,Gaole-Banapassport,2437
Switch Pokemon Scarlet | Pokemon Violet | Pokemon Scarlet & Pokemon Violet Double Pack (English/Chinese) * 寶可夢 紫 *,43600000,20900000,5,29,HeavyArm U Garage Store,402
Original 2pcs Mini PUBG Mobile Gamepad Controller Game Trigger L1R1 Button Joystick Joystick,1590000,990000,4.885032537960955,3584,Puslisi,311
[SMALL VARIANTS] Recharge daimonds fre3 f1re service 2,730000,110000,5,304,GameMaster_Store,6670
(READY STOCK) (25Pcs)TCG Toploader Card Holder 3x4 35PT Pokemon/YuGiOh /Kpop/Photo/Stamp/Digimon Game Card Holder,880000,880000,4.977401129943503,3513,Blacky.Owl.House,415
Roblox Toy Robux ready stock Malaysia,14100000,2050000,5,308,66gzqveaki,1659
DOBE AKITOMO Nintendo Switch OLED Crystal Clear Case TPU Protective Cover Transparent Casing TNS-1133B TNS-1133C,1900000,1750000,4.936813186813187,1396,NONSTOP MY,153
"[FREE Gift PROMO] SyokTV 1 / 3 /6 Month For Android TV & Android Phone, Android Devices (PC, LAPTOP) iOS, iPHONE",5400000,1000000,4.988888888888889,900,SHOMEX,59031
NSW Nintendo Switch Console OLED Model White/Neon [Free Tempered Glass + 1 Year Malaysia Warranty],139900000,134900000,4.930379746835443,2913,Impulse Gaming,27
POKEMON GO JOYSTICK/SPOOFER APK (ANDROID ONLY),100000,100000,4.960352422907489,517,GT.STORE,9466
Mobile Game Finger Sleeve Breathable Non-Slip Touch Screen Joystick Sweatproof sarung jari gaming sarung tangan pubg,49000,49000,4.8221065278334,157873,88 Gadget Store,29559
iQiyi Malaysia Plan 1month,899000,289000,5,103,AStreamWatch,108
《 𝗧𝗩 𝗢𝗨𝗧𝗣𝗨𝗧 》 AV Display 400 Games Retro Gameboy Classic Game Boy Console Mario Contra Sonic Permainan Video 电子游戏机,2230000,319000,4.807647740440324,13014,NWD ( New World Depot ),2349
"AEROX Valorant Boost/ Boosting Service, and Coaching Service",3325000,475000,4.992405063291139,5522,Aerox Valorant Boosting Service,109941
Nintendo Switch & Switch Lite Switch OLED LASTEST Wireless PRO Controller Vibration 6 Axis Somatosensory Bluetooth,4490000,4490000,4.904290429042904,1341,Custom Create Game Store,848
VSCO + Premium Account IOS Android Account Lifetime Subscription 🔥CHEAPEST ON SHOPEE🔥,299000,299000,4.978208232445521,2651,waifumart,7385
